report_id,object_type,object_id,object_name,enterprise_id,mine_id,stage,report_type_code,report_type_name,is_annual,material_items,upload_rule,enabled,updated_at
report_mine_001_mining_license,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,申请采矿阶段,mining_license,采矿权证书,False,"[{""material_code"": ""mining_license_01"", ""material_name"": ""采矿权证书"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_001_real_estate_certificate,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,申请采矿阶段,real_estate_certificate,不动产权证,False,"[{""material_code"": ""real_estate_certificate_01"", ""material_name"": ""不动产权证"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_001_project_approval,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,项目立项阶段,project_approval,立项报告,False,"[{""material_code"": ""project_approval_01"", ""material_name"": ""立项报告"", ""required"": true}, {""material_code"": ""project_approval_02"", ""material_name"": ""立项批复文件"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_001_safety_production_permit,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,项目准入阶段,safety_production_permit,安全生产许可,False,"[{""material_code"": ""safety_production_permit_01"", ""material_name"": ""安全生产许可证"", ""required"": true}, {""material_code"": ""safety_production_permit_02"", ""material_name"": ""小危行业"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_001_water_permit,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,项目准入阶段,water_permit,取水许可,False,"[{""material_code"": ""water_permit_01"", ""material_name"": ""取水许可证"", ""required"": true}, {""material_code"": ""water_permit_02"", ""material_name"": ""取水许可批复"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_001_project_land,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,项目准入阶段,project_land,项目用地,False,"[{""material_code"": ""project_land_01"", ""material_name"": ""建设项目用地"", ""required"": true}, {""material_code"": ""project_land_02"", ""material_name"": ""土地租用"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_001_reserve_annual_report,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,项目实施阶段,reserve_annual_report,储量年报,True,"[{""material_code"": ""reserve_annual_report_01"", ""material_name"": ""储量年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_mine_002_mining_license,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,申请采矿阶段,mining_license,采矿权证书,False,"[{""material_code"": ""mining_license_01"", ""material_name"": ""采矿权证书"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_002_real_estate_certificate,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,申请采矿阶段,real_estate_certificate,不动产权证,False,"[{""material_code"": ""real_estate_certificate_01"", ""material_name"": ""不动产权证"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_002_project_approval,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,项目立项阶段,project_approval,立项报告,False,"[{""material_code"": ""project_approval_01"", ""material_name"": ""立项报告"", ""required"": true}, {""material_code"": ""project_approval_02"", ""material_name"": ""立项批复文件"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
